checkout_date,degree,checkout_count
2019-02-05,bachelor degree,118.0
2019-02-06,Alumni,13.0
2019-02-06,Teacher,405.0
2019-02-06,bachelor degree,25.0
2019-02-06,doctoral degree,128.0
2019-02-06,master degree,156.0
2019-02-07,master degree,65.0
2019-02-07,bachelor degree,99.0
2019-02-07,doctoral degree,52.0
2019-02-07,Alumni,3.0
2019-02-07,Teacher,1374.0
2019-02-08,Alumni,24.0
2019-02-08,Teacher,538.0
2019-02-08,bachelor degree,41.0
2019-02-08,doctoral degree,114.0
2019-02-08,master degree,0.0
2019-02-09,doctoral degree,29.0
2019-02-09,Alumni,0.0
2019-02-09,Teacher,18.0
2019-02-09,bachelor degree,4.0
2019-02-09,master degree,41.0
2019-02-10,master degree,48.0
2019-02-10,doctoral degree,20.0
2019-02-10,Alumni,58.0
2019-02-10,bachelor degree,3.0
2019-02-11,master degree,119.0
2019-02-11,Alumni,5.0
2019-02-11,Teacher,214.0
2019-02-11,bachelor degree,74.0
2019-02-11,doctoral degree,37.0
2019-02-12,bachelor degree,121.0
2019-02-12,doctoral degree,116.0
2019-02-12,Alumni,6.0
2019-02-12,Teacher,138.0
2019-02-12,master degree,38.0
2019-02-13,master degree,180.0
2019-02-13,doctoral degree,59.0
2019-02-13,Alumni,14.0
2019-02-13,Teacher,133.0
2019-02-13,bachelor degree,132.0
2019-02-14,Alumni,19.0
2019-02-14,Teacher,227.0
2019-02-14,bachelor degree,52.0
2019-02-14,doctoral degree,126.0
2019-02-14,master degree,36.0
2019-02-15,doctoral degree,111.0
2019-02-15,bachelor degree,70.0
2019-02-15,master degree,30.0
2019-02-15,Alumni,20.0
2019-02-15,Teacher,241.0
2019-02-16,Alumni,0.0
2019-02-16,Teacher,389.0
2019-02-16,bachelor degree,109.0
2019-02-16,doctoral degree,35.0
2019-02-16,master degree,76.0
2019-02-17,Alumni,6.0
2019-02-17,Teacher,6.0
2019-02-17,bachelor degree,10.0
2019-02-17,doctoral degree,45.0
2019-02-17,master degree,0.0
2019-02-18,master degree,98.0
2019-02-18,doctoral degree,101.0
2019-02-18,Teacher,354.0
2019-02-18,Alumni,40.0
2019-02-18,bachelor degree,164.0
2019-02-20,Alumni,25.0
2019-02-20,Teacher,221.0
2019-02-20,bachelor degree,104.0
2019-02-20,doctoral degree,70.0
2019-02-20,master degree,148.0
2019-02-21,master degree,168.0
2019-02-21,doctoral degree,35.0
2019-02-21,bachelor degree,55.0
2019-02-21,Teacher,832.0
2019-02-21,Alumni,8.0
2019-02-22,Alumni,26.0
2019-02-22,Teacher,233.0
2019-02-22,bachelor degree,69.0
2019-02-22,doctoral degree,67.0
2019-02-22,master degree,82.0
2019-02-23,doctoral degree,52.0
2019-02-23,bachelor degree,87.0
2019-02-23,master degree,24.0
2019-02-23,Alumni,11.0
2019-02-23,Teacher,34.0
2019-02-24,bachelor degree,28.0
2019-02-24,master degree,14.0
2019-02-24,Alumni,31.0
2019-02-24,Teacher,34.0
2019-02-25,Alumni,46.0
2019-02-25,Teacher,274.0
2019-02-25,bachelor degree,79.0
