,Member_type,Duration(day)
265,bachelor degree,24.0
266,bachelor degree,28.0
267,bachelor degree,13.0
268,bachelor degree,13.0
269,bachelor degree,8.0
270,bachelor degree,14.0
271,bachelor degree,15.0
272,bachelor degree,25.0
274,bachelor degree,14.0
275,bachelor degree,22.0
276,bachelor degree,5.0
277,bachelor degree,22.0
278,bachelor degree,11.0
279,bachelor degree,15.0
280,bachelor degree,9.0
281,bachelor degree,25.0
282,bachelor degree,4.0
283,bachelor degree,15.0
284,bachelor degree,26.0
285,bachelor degree,7.0
286,bachelor degree,13.0
287,bachelor degree,27.0
288,bachelor degree,18.0
289,bachelor degree,11.0
290,bachelor degree,7.0
291,bachelor degree,7.0
292,bachelor degree,17.0
293,bachelor degree,17.0
294,bachelor degree,13.0
295,bachelor degree,8.0
296,bachelor degree,28.0
297,bachelor degree,9.0
298,bachelor degree,21.0
299,bachelor degree,16.0
300,bachelor degree,5.0
301,bachelor degree,20.0
302,bachelor degree,9.0
303,bachelor degree,10.0
304,bachelor degree,61.0
305,bachelor degree,6.0
306,bachelor degree,9.0
307,bachelor degree,9.0
308,bachelor degree,12.0
309,bachelor degree,13.0
310,bachelor degree,1.0
311,bachelor degree,2.0
312,bachelor degree,4.0
313,bachelor degree,11.0
314,bachelor degree,13.0
315,bachelor degree,8.0
316,bachelor degree,4.0
317,bachelor degree,14.0
318,bachelor degree,27.0
319,bachelor degree,25.0
320,bachelor degree,11.0
321,bachelor degree,15.0
322,bachelor degree,19.0
323,bachelor degree,6.0
324,bachelor degree,2.0
325,bachelor degree,21.0
326,bachelor degree,13.0
327,bachelor degree,30.0
328,bachelor degree,27.0
329,bachelor degree,14.0
330,bachelor degree,7.0
331,bachelor degree,14.0
332,bachelor degree,14.0
333,bachelor degree,8.0
334,bachelor degree,2.0
336,bachelor degree,5.0
337,bachelor degree,1.0
338,bachelor degree,5.0
339,bachelor degree,1.0
340,bachelor degree,6.0
342,bachelor degree,22.0
343,bachelor degree,7.0
344,bachelor degree,24.0
345,bachelor degree,16.0
346,bachelor degree,12.0
347,bachelor degree,29.0
348,bachelor degree,21.0
349,bachelor degree,13.0
350,bachelor degree,53.0
351,bachelor degree,11.0
352,bachelor degree,130.0
353,bachelor degree,7.0
354,bachelor degree,10.0
355,bachelor degree,11.0
356,bachelor degree,7.0
357,bachelor degree,9.0
358,bachelor degree,15.0
359,bachelor degree,6.0
360,bachelor degree,14.0
361,bachelor degree,17.0
362,bachelor degree,3.0
363,bachelor degree,6.0
364,bachelor degree,17.0
365,bachelor degree,15.0
366,bachelor degree,14.0
367,bachelor degree,6.0
368,bachelor degree,93.0
369,bachelor degree,5.0
370,bachelor degree,6.0
371,bachelor degree,22.0
372,bachelor degree,4.0
373,bachelor degree,14.0
374,bachelor degree,14.0
375,bachelor degree,5.0
376,bachelor degree,13.0
377,bachelor degree,20.0
378,bachelor degree,1.0
379,bachelor degree,26.0
380,bachelor degree,74.0
381,bachelor degree,78.0
382,bachelor degree,28.0
384,bachelor degree,27.0
385,bachelor degree,19.0
386,bachelor degree,4.0
387,bachelor degree,15.0
389,bachelor degree,6.0
390,bachelor degree,18.0
391,bachelor degree,20.0
392,bachelor degree,21.0
393,bachelor degree,33.0
394,bachelor degree,64.0
395,bachelor degree,25.0
396,bachelor degree,9.0
397,bachelor degree,13.0
398,bachelor degree,6.0
399,bachelor degree,12.0
400,bachelor degree,14.0
401,bachelor degree,14.0
402,bachelor degree,6.0
404,bachelor degree,24.0
405,bachelor degree,21.0
406,bachelor degree,13.0
407,bachelor degree,21.0
408,bachelor degree,3.0
409,bachelor degree,13.0
410,bachelor degree,23.0
411,bachelor degree,56.0
412,bachelor degree,20.0
413,bachelor degree,25.0
414,bachelor degree,113.0
415,bachelor degree,14.0
416,bachelor degree,28.0
417,bachelor degree,20.0
418,bachelor degree,6.0
419,bachelor degree,14.0
420,bachelor degree,7.0
421,bachelor degree,3.0
422,bachelor degree,5.0
423,bachelor degree,12.0
424,bachelor degree,14.0
425,bachelor degree,15.0
427,bachelor degree,15.0
428,bachelor degree,1.0
429,bachelor degree,2.0
430,bachelor degree,3.0
431,bachelor degree,5.0
432,bachelor degree,20.0
433,bachelor degree,23.0
434,bachelor degree,15.0
435,bachelor degree,27.0
436,bachelor degree,13.0
437,bachelor degree,9.0
438,bachelor degree,34.0
439,bachelor degree,27.0
440,bachelor degree,14.0
441,bachelor degree,11.0
442,bachelor degree,10.0
443,bachelor degree,13.0
444,bachelor degree,21.0
445,bachelor degree,20.0
446,bachelor degree,20.0
447,bachelor degree,20.0
448,bachelor degree,27.0
449,bachelor degree,14.0
450,bachelor degree,13.0
451,bachelor degree,14.0
452,bachelor degree,28.0
453,bachelor degree,25.0
454,bachelor degree,14.0
455,bachelor degree,14.0
456,bachelor degree,13.0
457,bachelor degree,31.0
458,bachelor degree,16.0
459,bachelor degree,21.0
460,bachelor degree,14.0
462,bachelor degree,16.0
463,bachelor degree,8.0
464,bachelor degree,13.0
465,bachelor degree,10.0
466,bachelor degree,13.0
467,bachelor degree,16.0
468,bachelor degree,14.0
469,bachelor degree,10.0
470,bachelor degree,28.0
471,bachelor degree,10.0
472,bachelor degree,8.0
473,bachelor degree,7.0
475,bachelor degree,28.0
476,bachelor degree,15.0
477,bachelor degree,2.0
478,bachelor degree,15.0
479,bachelor degree,4.0
480,bachelor degree,5.0
481,bachelor degree,5.0
483,bachelor degree,8.0
484,bachelor degree,11.0
485,bachelor degree,8.0
486,bachelor degree,17.0
487,bachelor degree,154.0
488,bachelor degree,18.0
489,bachelor degree,11.0
490,bachelor degree,14.0
491,bachelor degree,10.0
492,bachelor degree,10.0
493,bachelor degree,8.0
494,bachelor degree,14.0
495,bachelor degree,8.0
496,bachelor degree,12.0
497,bachelor degree,27.0
498,bachelor degree,3.0
499,bachelor degree,14.0
500,bachelor degree,19.0
501,bachelor degree,7.0
502,bachelor degree,20.0
503,bachelor degree,27.0
504,bachelor degree,13.0
505,bachelor degree,14.0
506,bachelor degree,11.0
507,bachelor degree,22.0
508,bachelor degree,13.0
509,bachelor degree,9.0
510,bachelor degree,14.0
511,bachelor degree,14.0
512,bachelor degree,6.0
513,bachelor degree,14.0
514,bachelor degree,8.0
516,bachelor degree,12.0
517,bachelor degree,12.0
518,bachelor degree,35.0
519,bachelor degree,15.0
520,bachelor degree,10.0
521,bachelor degree,14.0
522,bachelor degree,7.0
524,bachelor degree,14.0
525,bachelor degree,22.0
526,bachelor degree,15.0
527,bachelor degree,12.0
528,bachelor degree,6.0
529,bachelor degree,30.0
530,bachelor degree,4.0
531,bachelor degree,7.0
532,bachelor degree,14.0
533,bachelor degree,9.0
535,bachelor degree,6.0
536,bachelor degree,5.0
537,bachelor degree,3.0
538,bachelor degree,22.0
539,bachelor degree,15.0
540,bachelor degree,22.0
541,bachelor degree,22.0
542,bachelor degree,17.0
543,bachelor degree,4.0
544,bachelor degree,21.0
545,bachelor degree,77.0
546,bachelor degree,4.0
547,bachelor degree,18.0
548,bachelor degree,17.0
549,bachelor degree,14.0
550,bachelor degree,3.0
551,bachelor degree,11.0
552,bachelor degree,18.0
553,bachelor degree,9.0
554,bachelor degree,10.0
555,bachelor degree,7.0
556,bachelor degree,17.0
557,bachelor degree,2.0
558,bachelor degree,11.0
559,bachelor degree,16.0
560,bachelor degree,10.0
561,bachelor degree,7.0
562,bachelor degree,5.0
563,bachelor degree,13.0
