,Member_type,Duration(day)
11280,bachelor degree,51.0
11281,bachelor degree,15.0
11282,bachelor degree,14.0
11283,bachelor degree,14.0
11284,bachelor degree,7.0
11285,bachelor degree,47.0
11286,bachelor degree,30.0
11287,bachelor degree,11.0
11288,bachelor degree,11.0
11290,bachelor degree,15.0
11291,bachelor degree,5.0
11292,bachelor degree,143.0
11293,bachelor degree,2.0
11294,bachelor degree,7.0
11295,bachelor degree,9.0
11296,bachelor degree,43.0
11297,bachelor degree,17.0
11298,bachelor degree,12.0
11299,bachelor degree,2.0
11300,bachelor degree,5.0
11301,bachelor degree,13.0
11302,bachelor degree,24.0
11303,bachelor degree,3.0
11304,bachelor degree,14.0
11305,bachelor degree,4.0
11306,bachelor degree,7.0
11307,bachelor degree,7.0
11308,bachelor degree,28.0
11309,bachelor degree,13.0
11310,bachelor degree,113.0
11311,bachelor degree,23.0
11312,bachelor degree,1.0
11313,bachelor degree,24.0
11314,bachelor degree,11.0
11315,bachelor degree,27.0
11316,bachelor degree,154.0
11317,bachelor degree,15.0
11318,bachelor degree,8.0
11319,bachelor degree,26.0
11320,bachelor degree,12.0
11321,bachelor degree,7.0
11322,bachelor degree,8.0
11323,bachelor degree,17.0
11324,bachelor degree,12.0
11325,bachelor degree,14.0
11326,bachelor degree,13.0
11327,bachelor degree,2.0
11328,bachelor degree,28.0
11329,bachelor degree,80.0
11330,bachelor degree,12.0
11331,bachelor degree,12.0
11332,bachelor degree,143.0
11333,bachelor degree,2.0
11334,bachelor degree,14.0
11335,bachelor degree,5.0
11336,bachelor degree,6.0
11337,bachelor degree,11.0
11338,bachelor degree,5.0
11339,bachelor degree,14.0
11340,bachelor degree,17.0
11342,bachelor degree,13.0
11343,bachelor degree,11.0
11344,bachelor degree,15.0
11345,bachelor degree,8.0
11346,bachelor degree,11.0
11347,bachelor degree,12.0
11349,bachelor degree,28.0
11350,bachelor degree,14.0
11351,bachelor degree,4.0
11352,bachelor degree,14.0
11353,bachelor degree,28.0
11354,bachelor degree,28.0
11355,bachelor degree,7.0
11356,bachelor degree,5.0
11357,bachelor degree,5.0
11358,bachelor degree,1.0
11359,bachelor degree,18.0
11360,bachelor degree,14.0
11362,bachelor degree,13.0
11363,bachelor degree,6.0
11364,bachelor degree,13.0
11365,bachelor degree,15.0
11366,bachelor degree,12.0
11367,bachelor degree,17.0
11368,bachelor degree,6.0
11369,bachelor degree,14.0
11370,bachelor degree,36.0
11371,bachelor degree,21.0
11372,bachelor degree,29.0
11373,bachelor degree,11.0
11374,bachelor degree,1.0
11375,bachelor degree,6.0
11376,bachelor degree,26.0
11377,bachelor degree,27.0
11378,bachelor degree,9.0
11379,bachelor degree,23.0
11380,bachelor degree,9.0
11381,bachelor degree,15.0
11382,bachelor degree,9.0
11383,bachelor degree,16.0
11384,bachelor degree,13.0
11385,bachelor degree,14.0
11386,bachelor degree,14.0
11387,bachelor degree,20.0
11388,bachelor degree,5.0
11389,bachelor degree,21.0
11390,bachelor degree,25.0
11391,bachelor degree,8.0
11392,bachelor degree,8.0
11393,bachelor degree,1.0
11394,bachelor degree,16.0
11395,bachelor degree,61.0
11396,bachelor degree,8.0
11397,bachelor degree,12.0
11398,bachelor degree,13.0
11399,bachelor degree,14.0
11400,bachelor degree,8.0
11401,bachelor degree,17.0
11402,bachelor degree,16.0
11403,bachelor degree,9.0
11404,bachelor degree,14.0
11405,bachelor degree,12.0
11406,bachelor degree,15.0
11407,bachelor degree,4.0
11408,bachelor degree,27.0
11409,bachelor degree,14.0
11410,bachelor degree,35.0
11411,bachelor degree,13.0
11412,bachelor degree,10.0
11413,bachelor degree,12.0
11414,bachelor degree,13.0
11415,bachelor degree,12.0
11416,bachelor degree,12.0
11417,bachelor degree,10.0
11419,bachelor degree,6.0
11420,bachelor degree,27.0
11421,bachelor degree,5.0
11422,bachelor degree,5.0
11423,bachelor degree,9.0
11424,bachelor degree,14.0
11425,bachelor degree,6.0
11426,bachelor degree,28.0
11427,bachelor degree,9.0
11428,bachelor degree,22.0
11429,bachelor degree,7.0
11430,bachelor degree,20.0
11431,bachelor degree,14.0
11432,bachelor degree,21.0
11433,bachelor degree,16.0
11434,bachelor degree,14.0
11435,bachelor degree,14.0
11436,bachelor degree,26.0
11437,bachelor degree,8.0
11438,bachelor degree,14.0
11439,bachelor degree,38.0
11441,bachelor degree,19.0
11442,bachelor degree,12.0
11443,bachelor degree,14.0
11444,bachelor degree,38.0
11445,bachelor degree,62.0
11446,bachelor degree,22.0
11447,bachelor degree,12.0
11448,bachelor degree,14.0
11450,bachelor degree,29.0
11451,bachelor degree,54.0
11453,bachelor degree,17.0
11454,bachelor degree,14.0
11455,bachelor degree,12.0
11456,bachelor degree,11.0
11458,bachelor degree,10.0
11459,bachelor degree,126.0
11460,bachelor degree,14.0
11461,bachelor degree,14.0
11462,bachelor degree,10.0
11463,bachelor degree,28.0
11464,bachelor degree,28.0
11465,bachelor degree,27.0
11466,bachelor degree,2.0
11467,bachelor degree,117.0
11468,bachelor degree,28.0
11469,bachelor degree,13.0
11470,bachelor degree,4.0
11471,bachelor degree,14.0
11472,bachelor degree,17.0
11473,bachelor degree,6.0
11474,bachelor degree,27.0
11475,bachelor degree,11.0
11476,bachelor degree,7.0
11477,bachelor degree,30.0
11478,bachelor degree,20.0
11479,bachelor degree,2.0
11480,bachelor degree,110.0
11481,bachelor degree,3.0
11482,bachelor degree,7.0
11483,bachelor degree,6.0
11485,bachelor degree,2.0
11486,bachelor degree,25.0
11487,bachelor degree,4.0
11489,bachelor degree,24.0
11490,bachelor degree,6.0
11491,bachelor degree,14.0
11492,bachelor degree,25.0
11493,bachelor degree,14.0
11494,bachelor degree,28.0
11495,bachelor degree,12.0
11496,bachelor degree,14.0
11497,bachelor degree,14.0
11498,bachelor degree,14.0
11499,bachelor degree,6.0
11500,bachelor degree,9.0
11501,bachelor degree,14.0
11502,bachelor degree,22.0
11503,bachelor degree,14.0
11506,bachelor degree,2.0
11507,bachelor degree,5.0
11508,bachelor degree,3.0
11509,bachelor degree,8.0
11510,bachelor degree,3.0
11511,bachelor degree,10.0
11512,bachelor degree,14.0
11513,bachelor degree,27.0
11514,bachelor degree,13.0
11515,bachelor degree,15.0
11516,bachelor degree,13.0
11517,bachelor degree,1.0
11518,bachelor degree,7.0
11519,bachelor degree,22.0
11520,bachelor degree,21.0
11521,bachelor degree,16.0
11522,bachelor degree,11.0
11524,bachelor degree,38.0
11526,bachelor degree,7.0
11527,bachelor degree,7.0
11528,bachelor degree,4.0
11529,bachelor degree,34.0
11530,bachelor degree,15.0
11531,bachelor degree,9.0
11532,bachelor degree,10.0
11533,bachelor degree,7.0
11534,bachelor degree,7.0
11535,bachelor degree,2.0
11536,bachelor degree,5.0
11537,bachelor degree,15.0
11538,bachelor degree,13.0
11539,bachelor degree,22.0
11540,bachelor degree,7.0
11541,bachelor degree,3.0
11542,bachelor degree,22.0
11543,bachelor degree,17.0
11544,bachelor degree,14.0
11545,bachelor degree,13.0
11546,bachelor degree,14.0
11547,bachelor degree,21.0
11548,bachelor degree,13.0
11549,bachelor degree,14.0
11550,bachelor degree,16.0
11551,bachelor degree,4.0
11552,bachelor degree,2.0
11553,bachelor degree,5.0
11554,bachelor degree,14.0
11555,bachelor degree,21.0
11556,bachelor degree,34.0
11558,bachelor degree,12.0
11560,bachelor degree,9.0
11561,bachelor degree,4.0
11562,bachelor degree,14.0
11563,bachelor degree,17.0
11564,bachelor degree,12.0
11565,bachelor degree,1.0
11566,bachelor degree,129.0
11567,bachelor degree,6.0
11568,bachelor degree,3.0
11569,bachelor degree,6.0
11570,bachelor degree,14.0
11571,bachelor degree,13.0
11572,bachelor degree,8.0
11573,bachelor degree,13.0
11574,bachelor degree,36.0
11575,bachelor degree,11.0
11576,bachelor degree,26.0
11577,bachelor degree,3.0
11578,bachelor degree,4.0
11579,bachelor degree,25.0
11580,bachelor degree,9.0
11581,bachelor degree,7.0
11583,bachelor degree,8.0
11584,bachelor degree,14.0
11585,bachelor degree,15.0
11586,bachelor degree,10.0
11587,bachelor degree,4.0
11588,bachelor degree,12.0
11589,bachelor degree,29.0
11590,bachelor degree,13.0
11591,bachelor degree,11.0
11592,bachelor degree,14.0
11593,bachelor degree,18.0
11594,bachelor degree,26.0
11595,bachelor degree,14.0
11596,bachelor degree,4.0
11597,bachelor degree,8.0
11598,bachelor degree,11.0
11599,bachelor degree,7.0
11600,bachelor degree,14.0
11601,bachelor degree,14.0
11602,bachelor degree,15.0
11603,bachelor degree,6.0
11604,bachelor degree,17.0
11605,bachelor degree,15.0
11606,bachelor degree,17.0
11607,bachelor degree,14.0
11608,bachelor degree,14.0
11609,bachelor degree,3.0
11610,bachelor degree,14.0
11611,bachelor degree,27.0
11612,bachelor degree,7.0
11613,bachelor degree,9.0
11614,bachelor degree,4.0
11615,bachelor degree,2.0
11616,bachelor degree,35.0
11617,bachelor degree,13.0
11618,bachelor degree,48.0
11619,bachelor degree,23.0
11620,bachelor degree,12.0
11621,bachelor degree,14.0
11622,bachelor degree,16.0
11623,bachelor degree,8.0
11624,bachelor degree,17.0
11625,bachelor degree,12.0
11626,bachelor degree,19.0
11628,bachelor degree,9.0
11629,bachelor degree,12.0
11630,bachelor degree,14.0
11631,bachelor degree,15.0
11633,bachelor degree,7.0
11634,bachelor degree,7.0
11635,bachelor degree,16.0
11636,bachelor degree,28.0
11637,bachelor degree,10.0
11638,bachelor degree,11.0
11639,bachelor degree,7.0
11640,bachelor degree,4.0
11641,bachelor degree,18.0
11643,bachelor degree,10.0
11644,bachelor degree,12.0
11645,bachelor degree,8.0
11647,bachelor degree,14.0
11648,bachelor degree,9.0
11649,bachelor degree,28.0
11650,bachelor degree,15.0
11651,bachelor degree,2.0
11652,bachelor degree,32.0
11653,bachelor degree,15.0
11654,bachelor degree,2.0
11656,bachelor degree,11.0
11657,bachelor degree,9.0
11658,bachelor degree,136.0
11659,bachelor degree,7.0
11660,bachelor degree,21.0
11661,bachelor degree,3.0
11662,bachelor degree,22.0
11663,bachelor degree,8.0
11664,bachelor degree,18.0
11665,bachelor degree,14.0
11666,bachelor degree,27.0
11667,bachelor degree,11.0
11668,bachelor degree,5.0
11670,bachelor degree,6.0
11671,bachelor degree,27.0
11672,bachelor degree,2.0
11673,bachelor degree,12.0
11674,bachelor degree,14.0
11675,bachelor degree,19.0
11676,bachelor degree,15.0
11677,bachelor degree,13.0
11678,bachelor degree,23.0
11679,bachelor degree,10.0
11680,bachelor degree,158.0
11681,bachelor degree,13.0
11682,bachelor degree,11.0
11683,bachelor degree,2.0
11684,bachelor degree,14.0
11685,bachelor degree,16.0
11686,bachelor degree,8.0
11687,bachelor degree,14.0
11688,bachelor degree,8.0
11689,bachelor degree,13.0
11690,bachelor degree,2.0
11691,bachelor degree,108.0
11692,bachelor degree,10.0
11693,bachelor degree,3.0
11694,bachelor degree,4.0
11695,bachelor degree,14.0
11696,bachelor degree,7.0
11697,bachelor degree,8.0
11698,bachelor degree,9.0
11699,bachelor degree,15.0
11700,bachelor degree,28.0
11701,bachelor degree,7.0
11703,bachelor degree,14.0
11704,bachelor degree,22.0
11705,bachelor degree,25.0
11706,bachelor degree,14.0
11707,bachelor degree,27.0
11708,bachelor degree,12.0
11709,bachelor degree,15.0
11711,bachelor degree,17.0
11712,bachelor degree,9.0
11713,bachelor degree,15.0
11714,bachelor degree,11.0
11715,bachelor degree,12.0
11716,bachelor degree,3.0
11717,bachelor degree,6.0
11718,bachelor degree,22.0
11719,bachelor degree,6.0
11720,bachelor degree,14.0
11721,bachelor degree,22.0
11722,bachelor degree,13.0
11723,bachelor degree,17.0
11724,bachelor degree,7.0
11725,bachelor degree,2.0
11726,bachelor degree,12.0
11727,bachelor degree,14.0
11728,bachelor degree,7.0
11729,bachelor degree,23.0
11730,bachelor degree,17.0
11731,bachelor degree,4.0
11732,bachelor degree,12.0
11733,bachelor degree,144.0
11734,bachelor degree,11.0
11735,bachelor degree,4.0
11736,bachelor degree,8.0
11737,bachelor degree,21.0
11738,bachelor degree,12.0
11739,bachelor degree,15.0
11740,bachelor degree,2.0
11741,bachelor degree,5.0
11744,bachelor degree,14.0
11745,bachelor degree,14.0
11746,bachelor degree,13.0
11747,bachelor degree,13.0
11748,bachelor degree,13.0
11749,bachelor degree,13.0
11750,bachelor degree,2.0
11751,bachelor degree,12.0
11752,bachelor degree,12.0
11753,bachelor degree,14.0
11754,bachelor degree,30.0
11755,bachelor degree,26.0
11756,bachelor degree,2.0
11757,bachelor degree,15.0
11758,bachelor degree,26.0
11759,bachelor degree,7.0
11761,bachelor degree,15.0
11762,bachelor degree,12.0
11763,bachelor degree,14.0
11764,bachelor degree,18.0
11765,bachelor degree,8.0
11766,bachelor degree,13.0
11768,bachelor degree,30.0
11769,bachelor degree,24.0
11770,bachelor degree,26.0
11771,bachelor degree,8.0
11772,bachelor degree,9.0
11773,bachelor degree,13.0
11774,bachelor degree,29.0
11775,bachelor degree,8.0
11776,bachelor degree,28.0
11777,bachelor degree,10.0
11778,bachelor degree,10.0
11779,bachelor degree,13.0
11781,bachelor degree,5.0
11782,bachelor degree,13.0
11783,bachelor degree,2.0
11784,bachelor degree,9.0
11785,bachelor degree,15.0
11786,bachelor degree,14.0
11787,bachelor degree,14.0
11788,bachelor degree,3.0
11789,bachelor degree,14.0
11790,bachelor degree,14.0
11791,bachelor degree,10.0
11792,bachelor degree,2.0
11793,bachelor degree,20.0
11795,bachelor degree,10.0
11796,bachelor degree,13.0
11797,bachelor degree,13.0
11798,bachelor degree,24.0
11800,bachelor degree,4.0
11801,bachelor degree,15.0
11803,bachelor degree,7.0
11804,bachelor degree,15.0
11805,bachelor degree,25.0
11806,bachelor degree,28.0
11807,bachelor degree,14.0
11808,bachelor degree,2.0
11809,bachelor degree,11.0
11810,bachelor degree,15.0
11811,bachelor degree,10.0
11812,bachelor degree,14.0
11813,bachelor degree,14.0
11814,bachelor degree,9.0
11816,bachelor degree,18.0
11817,bachelor degree,26.0
11818,bachelor degree,14.0
11819,bachelor degree,15.0
11820,bachelor degree,17.0
11821,bachelor degree,7.0
11823,bachelor degree,11.0
11824,bachelor degree,5.0
11825,bachelor degree,110.0
11826,bachelor degree,24.0
11827,bachelor degree,17.0
11828,bachelor degree,6.0
11829,bachelor degree,9.0
11830,bachelor degree,5.0
11831,bachelor degree,7.0
11832,bachelor degree,8.0
11833,bachelor degree,7.0
11834,bachelor degree,16.0
11835,bachelor degree,26.0
11836,bachelor degree,76.0
11837,bachelor degree,25.0
11838,bachelor degree,15.0
11839,bachelor degree,11.0
11840,bachelor degree,17.0
11841,bachelor degree,28.0
11842,bachelor degree,4.0
11843,bachelor degree,14.0
11844,bachelor degree,28.0
11845,bachelor degree,13.0
11846,bachelor degree,13.0
11847,bachelor degree,26.0
11848,bachelor degree,27.0
11849,bachelor degree,37.0
11850,bachelor degree,10.0
11851,bachelor degree,8.0
11852,bachelor degree,10.0
11853,bachelor degree,11.0
11854,bachelor degree,14.0
11855,bachelor degree,111.0
11856,bachelor degree,15.0
11857,bachelor degree,29.0
11859,bachelor degree,9.0
11860,bachelor degree,15.0
11861,bachelor degree,10.0
11862,bachelor degree,8.0
11863,bachelor degree,2.0
11864,bachelor degree,16.0
11865,bachelor degree,11.0
11866,bachelor degree,22.0
11867,bachelor degree,25.0
11868,bachelor degree,14.0
11869,bachelor degree,10.0
11870,bachelor degree,12.0
11871,bachelor degree,6.0
11872,bachelor degree,15.0
11873,bachelor degree,15.0
11874,bachelor degree,19.0
11875,bachelor degree,77.0
11876,bachelor degree,4.0
11877,bachelor degree,22.0
11878,bachelor degree,14.0
11879,bachelor degree,11.0
11880,bachelor degree,26.0
11881,bachelor degree,112.0
11882,bachelor degree,28.0
11883,bachelor degree,13.0
11884,bachelor degree,10.0
11886,bachelor degree,164.0
11887,bachelor degree,6.0
11888,bachelor degree,14.0
11889,bachelor degree,21.0
11890,bachelor degree,12.0
11891,bachelor degree,4.0
11892,bachelor degree,20.0
11893,bachelor degree,19.0
11894,bachelor degree,28.0
11895,bachelor degree,11.0
11896,bachelor degree,16.0
11897,bachelor degree,30.0
11898,bachelor degree,91.0
11899,bachelor degree,70.0
11900,bachelor degree,14.0
11901,bachelor degree,18.0
11902,bachelor degree,12.0
11903,bachelor degree,14.0
11904,bachelor degree,4.0
11905,bachelor degree,13.0
11906,bachelor degree,28.0
11907,bachelor degree,10.0
11908,bachelor degree,15.0
11909,bachelor degree,10.0
11910,bachelor degree,6.0
11911,bachelor degree,12.0
11912,bachelor degree,13.0
11913,bachelor degree,14.0
11914,bachelor degree,3.0
11915,bachelor degree,14.0
11916,bachelor degree,12.0
11917,bachelor degree,140.0
11918,bachelor degree,26.0
11919,bachelor degree,4.0
11920,bachelor degree,11.0
11921,bachelor degree,23.0
11922,bachelor degree,12.0
11923,bachelor degree,24.0
11924,bachelor degree,23.0
11925,bachelor degree,4.0
11926,bachelor degree,17.0
11927,bachelor degree,7.0
11928,bachelor degree,24.0
11929,bachelor degree,10.0
11930,bachelor degree,28.0
11931,bachelor degree,15.0
11932,bachelor degree,23.0
11933,bachelor degree,26.0
11934,bachelor degree,14.0
11935,bachelor degree,1.0
11936,bachelor degree,14.0
11937,bachelor degree,5.0
11938,bachelor degree,8.0
11939,bachelor degree,20.0
11940,bachelor degree,15.0
11941,bachelor degree,12.0
11942,bachelor degree,9.0
11943,bachelor degree,8.0
11944,bachelor degree,5.0
11945,bachelor degree,26.0
11946,bachelor degree,12.0
11947,bachelor degree,6.0
11948,bachelor degree,14.0
11949,bachelor degree,6.0
11951,bachelor degree,17.0
11952,bachelor degree,3.0
11953,bachelor degree,7.0
11955,bachelor degree,14.0
11956,bachelor degree,9.0
11957,bachelor degree,14.0
11958,bachelor degree,6.0
11959,bachelor degree,16.0
11960,bachelor degree,28.0
11961,bachelor degree,11.0
11962,bachelor degree,23.0
11963,bachelor degree,21.0
11964,bachelor degree,21.0
11965,bachelor degree,17.0
11966,bachelor degree,25.0
11967,bachelor degree,10.0
11968,bachelor degree,1.0
11969,bachelor degree,7.0
11970,bachelor degree,78.0
11971,bachelor degree,11.0
11972,bachelor degree,11.0
11973,bachelor degree,5.0
11974,bachelor degree,58.0
11975,bachelor degree,7.0
11976,bachelor degree,6.0
11977,bachelor degree,7.0
11978,bachelor degree,16.0
11979,bachelor degree,74.0
11980,bachelor degree,18.0
11981,bachelor degree,6.0
11982,bachelor degree,12.0
11983,bachelor degree,13.0
11984,bachelor degree,32.0
11985,bachelor degree,7.0
11986,bachelor degree,3.0
11987,bachelor degree,7.0
11988,bachelor degree,4.0
11989,bachelor degree,7.0
11990,bachelor degree,6.0
11991,bachelor degree,7.0
11992,bachelor degree,5.0
11993,bachelor degree,7.0
11994,bachelor degree,8.0
11995,bachelor degree,14.0
11996,bachelor degree,7.0
11998,bachelor degree,3.0
11999,bachelor degree,9.0
12000,bachelor degree,1.0
12001,bachelor degree,10.0
12002,bachelor degree,10.0
12003,bachelor degree,16.0
12004,bachelor degree,34.0
12005,bachelor degree,6.0
12006,bachelor degree,4.0
12008,bachelor degree,7.0
12009,bachelor degree,6.0
12011,bachelor degree,27.0
12012,bachelor degree,19.0
12013,bachelor degree,15.0
12015,bachelor degree,16.0
12016,bachelor degree,14.0
12017,bachelor degree,14.0
12018,bachelor degree,6.0
12019,bachelor degree,13.0
12020,bachelor degree,10.0
12021,bachelor degree,35.0
12022,bachelor degree,8.0
12024,bachelor degree,3.0
12025,bachelor degree,16.0
12026,bachelor degree,4.0
12027,bachelor degree,26.0
12028,bachelor degree,14.0
12029,bachelor degree,4.0
12030,bachelor degree,6.0
12031,bachelor degree,7.0
12032,bachelor degree,14.0
12033,bachelor degree,10.0
12034,bachelor degree,13.0
12035,bachelor degree,9.0
12036,bachelor degree,20.0
12037,bachelor degree,17.0
12038,bachelor degree,6.0
12039,bachelor degree,8.0
12040,bachelor degree,14.0
12041,bachelor degree,25.0
12042,bachelor degree,14.0
12043,bachelor degree,8.0
12044,bachelor degree,18.0
12045,bachelor degree,7.0
12046,bachelor degree,6.0
12047,bachelor degree,8.0
12048,bachelor degree,14.0
12049,bachelor degree,7.0
12050,bachelor degree,37.0
12051,bachelor degree,6.0
12052,bachelor degree,32.0
12053,bachelor degree,14.0
12054,bachelor degree,2.0
12055,bachelor degree,8.0
12056,bachelor degree,6.0
12057,bachelor degree,3.0
12058,bachelor degree,15.0
12059,bachelor degree,14.0
12061,bachelor degree,73.0
12062,bachelor degree,6.0
12063,bachelor degree,18.0
12064,bachelor degree,4.0
12065,bachelor degree,9.0
12066,bachelor degree,7.0
12067,bachelor degree,17.0
12068,bachelor degree,4.0
12069,bachelor degree,41.0
12070,bachelor degree,13.0
12071,bachelor degree,14.0
12072,bachelor degree,24.0
12073,bachelor degree,32.0
12074,bachelor degree,28.0
12075,bachelor degree,8.0
12078,bachelor degree,13.0
12079,bachelor degree,14.0
12080,bachelor degree,14.0
12081,bachelor degree,14.0
12082,bachelor degree,14.0
12083,bachelor degree,14.0
12084,bachelor degree,14.0
12085,bachelor degree,30.0
12086,bachelor degree,15.0
12087,bachelor degree,14.0
12088,bachelor degree,14.0
12089,bachelor degree,77.0
12090,bachelor degree,12.0
12091,bachelor degree,6.0
12092,bachelor degree,145.0
12093,bachelor degree,14.0
12094,bachelor degree,13.0
12095,bachelor degree,11.0
12096,bachelor degree,3.0
12097,bachelor degree,13.0
12098,bachelor degree,5.0
12099,bachelor degree,5.0
12100,bachelor degree,14.0
12101,bachelor degree,13.0
12102,bachelor degree,13.0
12103,bachelor degree,13.0
12104,bachelor degree,32.0
12105,bachelor degree,9.0
12106,bachelor degree,20.0
12107,bachelor degree,36.0
12108,bachelor degree,2.0
12109,bachelor degree,6.0
12111,bachelor degree,16.0
12112,bachelor degree,2.0
12113,bachelor degree,18.0
12114,bachelor degree,6.0
12116,bachelor degree,13.0
12117,bachelor degree,28.0
12118,bachelor degree,35.0
12119,bachelor degree,4.0
12120,bachelor degree,30.0
12121,bachelor degree,28.0
12122,bachelor degree,25.0
12123,bachelor degree,13.0
12124,bachelor degree,14.0
12125,bachelor degree,28.0
12126,bachelor degree,7.0
12127,bachelor degree,14.0
12128,bachelor degree,12.0
12129,bachelor degree,127.0
12130,bachelor degree,4.0
12131,bachelor degree,20.0
12132,bachelor degree,27.0
12133,bachelor degree,28.0
12134,bachelor degree,8.0
12135,bachelor degree,7.0
12137,bachelor degree,5.0
12138,bachelor degree,11.0
12139,bachelor degree,6.0
12141,bachelor degree,14.0
12142,bachelor degree,14.0
12143,bachelor degree,17.0
12144,bachelor degree,14.0
12145,bachelor degree,9.0
12146,bachelor degree,18.0
12147,bachelor degree,15.0
12148,bachelor degree,15.0
12149,bachelor degree,6.0
12150,bachelor degree,9.0
12151,bachelor degree,2.0
12152,bachelor degree,6.0
12153,bachelor degree,6.0
12154,bachelor degree,3.0
12155,bachelor degree,5.0
12156,bachelor degree,7.0
12157,bachelor degree,8.0
12158,bachelor degree,8.0
12159,bachelor degree,5.0
12160,bachelor degree,11.0
12161,bachelor degree,15.0
12162,bachelor degree,9.0
12164,bachelor degree,4.0
12165,bachelor degree,3.0
12166,bachelor degree,3.0
12167,bachelor degree,16.0
12168,bachelor degree,15.0
12169,bachelor degree,11.0
12177,bachelor degree,7.0
12178,bachelor degree,15.0
12179,bachelor degree,15.0
12180,bachelor degree,16.0
12181,bachelor degree,21.0
12182,bachelor degree,9.0
12184,bachelor degree,15.0
12185,bachelor degree,13.0
12187,bachelor degree,7.0
12188,bachelor degree,14.0
12189,bachelor degree,22.0
12190,bachelor degree,96.0
12191,bachelor degree,15.0
12192,bachelor degree,28.0
12193,bachelor degree,3.0
12194,bachelor degree,21.0
12196,bachelor degree,15.0
12197,bachelor degree,22.0
12198,bachelor degree,14.0
12199,bachelor degree,17.0
12200,bachelor degree,11.0
12201,bachelor degree,9.0
12202,bachelor degree,5.0
12203,bachelor degree,13.0
12204,bachelor degree,18.0
12205,bachelor degree,1.0
12206,bachelor degree,14.0
12207,bachelor degree,28.0
12208,bachelor degree,3.0
12209,bachelor degree,14.0
12210,bachelor degree,8.0
12211,bachelor degree,2.0
12212,bachelor degree,7.0
12213,bachelor degree,1.0
12214,bachelor degree,28.0
12215,bachelor degree,12.0
12216,bachelor degree,4.0
12217,bachelor degree,4.0
12218,bachelor degree,14.0
12219,bachelor degree,14.0
12220,bachelor degree,6.0
12221,bachelor degree,42.0
12222,bachelor degree,15.0
12223,bachelor degree,19.0
12224,bachelor degree,14.0
12225,bachelor degree,19.0
12226,bachelor degree,7.0
12228,bachelor degree,9.0
12229,bachelor degree,21.0
12230,bachelor degree,14.0
12231,bachelor degree,25.0
12232,bachelor degree,15.0
12233,bachelor degree,3.0
12234,bachelor degree,19.0
12235,bachelor degree,13.0
12236,bachelor degree,13.0
12237,bachelor degree,29.0
12238,bachelor degree,11.0
12239,bachelor degree,2.0
12240,bachelor degree,17.0
12241,bachelor degree,14.0
12242,bachelor degree,24.0
12243,bachelor degree,11.0
12244,bachelor degree,9.0
12245,bachelor degree,5.0
12246,bachelor degree,16.0
12247,bachelor degree,13.0
12248,bachelor degree,19.0
12249,bachelor degree,111.0
12253,bachelor degree,22.0
12254,bachelor degree,12.0
12255,bachelor degree,111.0
12256,bachelor degree,9.0
12257,bachelor degree,2.0
12258,bachelor degree,7.0
12259,bachelor degree,16.0
12260,bachelor degree,1.0
12261,bachelor degree,5.0
12262,bachelor degree,14.0
12263,bachelor degree,7.0
12264,bachelor degree,21.0
12265,bachelor degree,5.0
12266,bachelor degree,5.0
12267,bachelor degree,8.0
12268,bachelor degree,7.0
12269,bachelor degree,32.0
12270,bachelor degree,11.0
12271,bachelor degree,8.0
12272,bachelor degree,6.0
12273,bachelor degree,7.0
12274,bachelor degree,3.0
12275,bachelor degree,2.0
12276,bachelor degree,9.0
12277,bachelor degree,8.0
12279,bachelor degree,7.0
12280,bachelor degree,9.0
12281,bachelor degree,14.0
12282,bachelor degree,35.0
12283,bachelor degree,14.0
12284,bachelor degree,31.0
12285,bachelor degree,2.0
12286,bachelor degree,2.0
12287,bachelor degree,7.0
12288,bachelor degree,28.0
12289,bachelor degree,23.0
12290,bachelor degree,5.0
12291,bachelor degree,2.0
12292,bachelor degree,14.0
12293,bachelor degree,29.0
12294,bachelor degree,18.0
12295,bachelor degree,9.0
12296,bachelor degree,20.0
12297,bachelor degree,8.0
12298,bachelor degree,14.0
12299,bachelor degree,14.0
12300,bachelor degree,18.0
12302,bachelor degree,15.0
12303,bachelor degree,21.0
12304,bachelor degree,15.0
12305,bachelor degree,4.0
12306,bachelor degree,27.0
12307,bachelor degree,3.0
12308,bachelor degree,28.0
12309,bachelor degree,13.0
12310,bachelor degree,16.0
12311,bachelor degree,4.0
12312,bachelor degree,13.0
12313,bachelor degree,5.0
12314,bachelor degree,26.0
12315,bachelor degree,18.0
12316,bachelor degree,3.0
12317,bachelor degree,29.0
12318,bachelor degree,3.0
12319,bachelor degree,27.0
12320,bachelor degree,7.0
12321,bachelor degree,9.0
12322,bachelor degree,11.0
12323,bachelor degree,11.0
12324,bachelor degree,14.0
12325,bachelor degree,103.0
12326,bachelor degree,24.0
12327,bachelor degree,14.0
12328,bachelor degree,2.0
12329,bachelor degree,18.0
12330,bachelor degree,12.0
12332,bachelor degree,9.0
12333,bachelor degree,12.0
12334,bachelor degree,14.0
12335,bachelor degree,14.0
12336,bachelor degree,11.0
12337,bachelor degree,24.0
12338,bachelor degree,5.0
12339,bachelor degree,3.0
12340,bachelor degree,16.0
12341,bachelor degree,32.0
12342,bachelor degree,12.0
12343,bachelor degree,18.0
12344,bachelor degree,26.0
12345,bachelor degree,7.0
12346,bachelor degree,24.0
12347,bachelor degree,4.0
12348,bachelor degree,20.0
